month,vertical,category_name,region_name,dau
2022-05-01,ELT,"Cameras, Video Cameras",Ha Noi,53493
2021-09-01,GEN,Perfume,Ha Noi,50200
2021-04-01,GEN,Perfume,Ha Noi,50435
2021-06-01,GEN,Perfume,Ha Noi,50398
2021-03-01,GEN,Other accessories,Ha Noi,53261
2021-07-01,GEN,Other accessories,Ha Noi,52985
2021-10-01,GEN,Other accessories,Ha Noi,51756
2021-04-01,GEN,Other accessories,Ha Noi,52727
2021-06-01,ELT,ELECTRONICS,Ha Noi,86673
2021-08-01,ELT,ELECTRONICS,Ha Noi,79049
2021-11-01,ELT,ELECTRONICS,Ha Noi,95166
2021-07-01,ELT,ELECTRONICS,Ha Noi,82790
2021-09-01,ELT,ELECTRONICS,Ha Noi,79274
2021-05-01,ELT,Mobile Phones,Ha Noi,100859
2021-02-01,ELT,Mobile Phones,Ha Noi,96864
2021-01-01,ELT,Mobile Phones,Ha Noi,95740
2021-02-01,ELT,"TV, Speakers, MP3 players",Ha Noi,70729
2021-07-01,ELT,"TV, Speakers, MP3 players",Ha Noi,68785
2021-11-01,ELT,"TV, Speakers, MP3 players",Ha Noi,71561
2021-06-01,ELT,"TV, Speakers, MP3 players",Ha Noi,68456
2021-05-01,ELT,"TV, Speakers, MP3 players",Ha Noi,71343
2021-04-01,ELT,"TV, Speakers, MP3 players",Ha Noi,70816
2021-03-01,ELT,"TV, Speakers, MP3 players",Ha Noi,74793
2021-05-01,ELT,"Computers, Laptops",Ha Noi,62005
2021-11-01,ELT,"Computers, Laptops",Ha Noi,63926
2021-04-01,ELT,"Computers, Laptops",Ha Noi,60454
2021-02-01,ELT,Tablets,Ha Noi,57640
2021-11-01,ELT,Tablets,Ha Noi,59072
2021-01-01,ELT,Tablets,Ha Noi,56397
2021-04-01,ELT,Tablets,Ha Noi,57311
2021-10-01,ELT,Tablets,Ha Noi,58496
2021-11-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54914
2021-10-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54365
2021-09-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,52472
2021-03-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,55588
2021-08-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,52740
2021-04-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54763
2021-05-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54926
2021-07-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,53338
2021-06-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,53922
2021-11-01,ELT,"Cameras, Video Cameras",Ha Noi,53402
2021-06-01,ELT,"Cameras, Video Cameras",Ha Noi,53261
2021-01-01,ELT,"Cameras, Video Cameras",Ha Noi,54881
2021-02-01,ELT,"Cameras, Video Cameras",Ha Noi,54474
2021-03-01,ELT,"Cameras, Video Cameras",Ha Noi,55360
2021-04-01,ELT,"Cameras, Video Cameras",Ha Noi,54335
2021-08-01,GEN,Clothes,Ha Noi,52110
2021-04-01,GEN,Clothes,Ha Noi,52991
2021-05-01,GEN,Clothes,Ha Noi,52886
2021-06-01,GEN,Clothes,Ha Noi,52339
2021-06-01,GEN,Watch,Ha Noi,53621
2021-07-01,GEN,Watch,Ha Noi,54300
2021-05-01,GEN,Watch,Ha Noi,54676
2021-02-01,GEN,Watch,Ha Noi,53900
2021-11-01,GEN,Watch,Ha Noi,54515
2021-08-01,GEN,Watch,Ha Noi,53775
2021-03-01,GEN,Watch,Ha Noi,55754
2021-02-01,GEN,Shoes,Ha Noi,53464
2021-07-01,GEN,Shoes,Ha Noi,53120
2021-09-01,GEN,Shoes,Ha Noi,51555
2021-04-01,GEN,Bags,Ha Noi,51637
2021-08-01,GEN,Bags,Ha Noi,51155
2021-06-01,GEN,Bags,Ha Noi,51191
2021-07-01,GEN,Bags,Ha Noi,51296
2021-10-01,GEN,Bags,Ha Noi,51306
2022-06-01,ELT,Tablets,Ha Noi,56171
2022-06-01,GEN,Watch,Ha Noi,53929
2022-06-01,GEN,Shoes,Ha Noi,52950
2022-06-01,ELT,ELECTRONICS,Ha Noi,85059
2022-06-01,GEN,Bags,Ha Noi,51504
2022-06-01,ELT,"Computers, Laptops",Ha Noi,59472
2022-03-01,ELT,"Computers, Laptops",Da Nang,53189
2022-03-01,GEN,Other accessories,Da Nang,50957
2022-03-01,GEN,Watch,Da Nang,51480
2022-03-01,ELT,"Cameras, Video Cameras",Da Nang,51152
2022-03-01,GEN,Shoes,Da Nang,51107
2022-03-01,GEN,Clothes,Da Nang,51049
2022-03-01,ELT,Mobile Phones,Da Nang,62592
2022-02-01,GEN,Bags,Da Nang,50404
2022-02-01,GEN,Clothes,Da Nang,51084
2022-02-01,GEN,Other accessories,Da Nang,50871
2022-02-01,ELT,Mobile Phones,Da Nang,63156
2022-02-01,ELT,"TV, Speakers, MP3 players",Da Nang,55405
2022-02-01,ELT,"Computers, Laptops",Da Nang,53025
2022-02-01,ELT,Tablets,Da Nang,52241
2021-12-01,GEN,Bags,Da Nang,50390
2021-12-01,GEN,Perfume,Da Nang,50222
2021-12-01,GEN,Other accessories,Da Nang,50974
2021-12-01,ELT,"TV, Speakers, MP3 players",Da Nang,56752
2021-12-01,ELT,"Cameras, Video Cameras",Da Nang,51178
2021-12-01,ELT,Tablets,Da Nang,52807
2021-12-01,ELT,Mobile Phones,Da Nang,65744
2021-12-01,GEN,Watch,Da Nang,51601
2022-01-01,GEN,Perfume,Da Nang,50206
2022-01-01,ELT,"Computers, Laptops",Da Nang,53159
2022-01-01,GEN,Watch,Da Nang,51635
2022-01-01,ELT,"Cameras, Video Cameras",Da Nang,51188
2022-01-01,ELT,Tablets,Da Nang,52627
2022-01-01,GEN,Clothes,Da Nang,51670
2022-01-01,ELT,"TV, Speakers, MP3 players",Da Nang,57238
2022-01-01,GEN,Bags,Da Nang,50377
2022-01-01,GEN,Shoes,Da Nang,51539
2022-04-01,ELT,"Cameras, Video Cameras",Da Nang,51090
2022-04-01,GEN,Shoes,Da Nang,51078
2022-04-01,GEN,Watch,Da Nang,51441
2022-04-01,GEN,Other accessories,Da Nang,50877
2022-04-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,51773
2022-04-01,GEN,Bags,Da Nang,50405
2022-04-01,ELT,"Computers, Laptops",Da Nang,52921
2022-05-01,ELT,"Cameras, Video Cameras",Da Nang,51154
2022-05-01,GEN,Clothes,Da Nang,51222
2022-05-01,GEN,Watch,Da Nang,51338
2022-05-01,ELT,Tablets,Da Nang,51810
2022-05-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,51695
2021-01-01,GEN,Perfume,Da Nang,50233
2021-06-01,GEN,Perfume,Da Nang,50151
2021-05-01,GEN,Perfume,Da Nang,50219
2021-02-01,GEN,Perfume,Da Nang,50148
2021-07-01,GEN,Other accessories,Da Nang,51051
2021-06-01,GEN,Other accessories,Da Nang,50883
2021-10-01,GEN,Other accessories,Da Nang,50558
2021-03-01,GEN,Other accessories,Da Nang,51205
2021-11-01,GEN,Other accessories,Da Nang,50867
2021-01-01,ELT,ELECTRONICS,Da Nang,63895
2021-05-01,ELT,ELECTRONICS,Da Nang,64953
2021-03-01,ELT,ELECTRONICS,Da Nang,66778
2021-06-01,ELT,ELECTRONICS,Da Nang,63199
2021-04-01,ELT,ELECTRONICS,Da Nang,64524
2021-11-01,ELT,ELECTRONICS,Da Nang,67296
2021-07-01,ELT,ELECTRONICS,Da Nang,61368
2021-08-01,ELT,ELECTRONICS,Da Nang,57760
2021-02-01,ELT,Mobile Phones,Da Nang,62721
2021-10-01,ELT,Mobile Phones,Da Nang,63308
2021-11-01,ELT,Mobile Phones,Da Nang,66000
2021-08-01,ELT,Mobile Phones,Da Nang,58570
2021-05-01,ELT,Mobile Phones,Da Nang,64421
2021-09-01,ELT,Mobile Phones,Da Nang,57458
2021-08-01,ELT,"TV, Speakers, MP3 players",Da Nang,53344
2021-09-01,ELT,"TV, Speakers, MP3 players",Da Nang,52316
2021-01-01,ELT,"TV, Speakers, MP3 players",Da Nang,56598
2021-10-01,ELT,"TV, Speakers, MP3 players",Da Nang,54820
2021-03-01,ELT,"Computers, Laptops",Da Nang,53387
2021-05-01,ELT,"Computers, Laptops",Da Nang,53204
2021-04-01,ELT,"Computers, Laptops",Da Nang,52853
2021-01-01,ELT,Tablets,Da Nang,52292
2021-06-01,ELT,Tablets,Da Nang,52240
2021-09-01,ELT,Tablets,Da Nang,51859
2021-02-01,ELT,Tablets,Da Nang,51827
2021-04-01,ELT,Tablets,Da Nang,52201
2021-05-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,51961
2021-09-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,50641
2021-07-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,51258
2021-04-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,51902
2021-03-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,52281
2021-02-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,51797
2021-03-01,ELT,"Cameras, Video Cameras",Da Nang,51738
2021-04-01,ELT,"Cameras, Video Cameras",Da Nang,51425
2021-11-01,ELT,"Cameras, Video Cameras",Da Nang,51232
2021-10-01,ELT,"Cameras, Video Cameras",Da Nang,50932
2021-03-01,GEN,Clothes,Da Nang,51090
2021-06-01,GEN,Clothes,Da Nang,50798
2021-07-01,GEN,Clothes,Da Nang,50853
2021-05-01,GEN,Clothes,Da Nang,50939
2021-09-01,GEN,Clothes,Da Nang,50274
2021-10-01,GEN,Clothes,Da Nang,50965
2021-02-01,GEN,Clothes,Da Nang,50951
2021-03-01,GEN,Watch,Da Nang,52006
2021-04-01,GEN,Watch,Da Nang,51490
2021-06-01,GEN,Watch,Da Nang,51238
2021-08-01,GEN,Watch,Da Nang,50877
2021-08-01,GEN,Shoes,Da Nang,50464
2021-11-01,GEN,Shoes,Da Nang,51128
2021-02-01,GEN,Shoes,Da Nang,51133
2021-06-01,GEN,Shoes,Da Nang,50828
2021-07-01,GEN,Shoes,Da Nang,50948
2021-02-01,GEN,Bags,Da Nang,50335
2021-06-01,GEN,Bags,Da Nang,50285
2021-01-01,GEN,Bags,Da Nang,50516
2021-03-01,GEN,Bags,Da Nang,50498
2021-11-01,GEN,Bags,Da Nang,50440
2021-05-01,GEN,Bags,Da Nang,50435
2021-04-01,GEN,Bags,Da Nang,50423
2021-09-01,GEN,Bags,Da Nang,50085
2022-06-01,GEN,Bags,Da Nang,50580
2022-06-01,ELT,"Cameras, Video Cameras",Da Nang,51153
2022-06-01,GEN,Other accessories,Da Nang,50797
2022-06-01,GEN,Perfume,Da Nang,50142
2022-06-01,GEN,Clothes,Da Nang,51050
2022-06-01,ELT,Mobile Phones,Da Nang,62205
2022-06-01,ELT,ELECTRONICS,Da Nang,62836
2022-03-01,ELT,ELECTRONICS,TP HCM,137654
2022-03-01,GEN,Other accessories,TP HCM,58391
2022-03-01,ELT,"Computers, Laptops",TP HCM,74699
2022-03-01,ELT,Tablets,TP HCM,68050
2022-03-01,GEN,Watch,TP HCM,60829
2022-03-01,GEN,Bags,TP HCM,54110
2022-03-01,GEN,Perfume,TP HCM,51589
2022-02-01,GEN,Shoes,TP HCM,57166
2022-02-01,GEN,Other accessories,TP HCM,57298
2022-02-01,GEN,Bags,TP HCM,53790
2022-02-01,GEN,Clothes,TP HCM,57735
2022-02-01,ELT,ELECTRONICS,TP HCM,126551
2022-02-01,ELT,"TV, Speakers, MP3 players",TP HCM,86819
2022-02-01,ELT,Mobile Phones,TP HCM,135078
2022-02-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,59181
2021-12-01,GEN,Bags,TP HCM,54207
2021-12-01,GEN,Shoes,TP HCM,58501
2021-12-01,GEN,Watch,TP HCM,60892
2021-12-01,GEN,Perfume,TP HCM,51883
2021-12-01,ELT,"Cameras, Video Cameras",TP HCM,58471
2021-12-01,GEN,Other accessories,TP HCM,58261
2021-12-01,ELT,Mobile Phones,TP HCM,151590
2021-12-01,ELT,ELECTRONICS,TP HCM,149289
2022-01-01,GEN,Clothes,TP HCM,60512
2022-01-01,GEN,Watch,TP HCM,61113
2022-01-01,ELT,ELECTRONICS,TP HCM,138969
2022-01-01,GEN,Perfume,TP HCM,51535
2022-01-01,ELT,"TV, Speakers, MP3 players",TP HCM,94552
2022-04-01,ELT,"Cameras, Video Cameras",TP HCM,58020
2022-04-01,GEN,Other accessories,TP HCM,57843
2022-04-01,GEN,Bags,TP HCM,54158
2022-04-01,ELT,"TV, Speakers, MP3 players",TP HCM,89165
2022-04-01,GEN,Clothes,TP HCM,58552
2022-04-01,ELT,Mobile Phones,TP HCM,142599
2022-04-01,ELT,ELECTRONICS,TP HCM,135812
2022-04-01,GEN,Perfume,TP HCM,51476
2022-04-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,60184
2022-05-01,ELT,Mobile Phones,TP HCM,138549
2022-05-01,ELT,ELECTRONICS,TP HCM,131877
2022-05-01,ELT,Tablets,TP HCM,66044
2022-05-01,GEN,Other accessories,TP HCM,56950
2022-05-01,GEN,Perfume,TP HCM,51349
2022-05-01,GEN,Watch,TP HCM,60317
2021-09-01,GEN,Perfume,TP HCM,50385
2021-03-01,GEN,Perfume,TP HCM,51947
2021-05-01,GEN,Perfume,TP HCM,51775
2021-01-01,GEN,Perfume,TP HCM,51828
2021-08-01,GEN,Perfume,TP HCM,50613
2021-07-01,GEN,Other accessories,TP HCM,57399
2021-02-01,GEN,Other accessories,TP HCM,56239
2021-11-01,GEN,Other accessories,TP HCM,57520
2021-11-01,ELT,ELECTRONICS,TP HCM,155838
2021-01-01,ELT,ELECTRONICS,TP HCM,141325
2021-02-01,ELT,ELECTRONICS,TP HCM,125502
2021-07-01,ELT,ELECTRONICS,TP HCM,114766
2021-04-01,ELT,Mobile Phones,TP HCM,144903
2021-06-01,ELT,Mobile Phones,TP HCM,143499
2021-05-01,ELT,Mobile Phones,TP HCM,154674
2021-07-01,ELT,Mobile Phones,TP HCM,130184
2021-01-01,ELT,Mobile Phones,TP HCM,154892
2021-09-01,ELT,Mobile Phones,TP HCM,102090
2021-08-01,ELT,Mobile Phones,TP HCM,110516
2021-10-01,ELT,Mobile Phones,TP HCM,146983
2021-11-01,ELT,"TV, Speakers, MP3 players",TP HCM,94193
2021-08-01,ELT,"TV, Speakers, MP3 players",TP HCM,73195
2021-03-01,ELT,"TV, Speakers, MP3 players",TP HCM,98174
2021-06-01,ELT,"TV, Speakers, MP3 players",TP HCM,91924
2021-05-01,ELT,"TV, Speakers, MP3 players",TP HCM,94647
2021-07-01,ELT,"TV, Speakers, MP3 players",TP HCM,86259
2021-09-01,ELT,"TV, Speakers, MP3 players",TP HCM,66437
2021-07-01,ELT,"Computers, Laptops",TP HCM,71811
2021-11-01,ELT,"Computers, Laptops",TP HCM,82098
2021-08-01,ELT,"Computers, Laptops",TP HCM,67464
2021-04-01,ELT,"Computers, Laptops",TP HCM,71158
2021-01-01,ELT,"Computers, Laptops",TP HCM,70646
2021-06-01,ELT,Tablets,TP HCM,68967
2021-02-01,ELT,Tablets,TP HCM,65180
2021-07-01,ELT,Tablets,TP HCM,66518
2021-10-01,ELT,Tablets,TP HCM,72245
2021-08-01,ELT,Tablets,TP HCM,63089
2021-01-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,61654
2021-05-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,61381
2021-07-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,56463
2021-08-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,54427
2021-06-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,59627
2021-02-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,59746
2021-10-01,ELT,"Cameras, Video Cameras",TP HCM,56864
2021-04-01,ELT,"Cameras, Video Cameras",TP HCM,59752
2021-02-01,ELT,"Cameras, Video Cameras",TP HCM,58778
2021-06-01,ELT,"Cameras, Video Cameras",TP HCM,58664
2021-10-01,GEN,Clothes,TP HCM,56041
2021-04-01,GEN,Clothes,TP HCM,57424
2021-06-01,GEN,Clothes,TP HCM,56739
2021-01-01,GEN,Clothes,TP HCM,59338
2021-02-01,GEN,Watch,TP HCM,59385
2021-07-01,GEN,Watch,TP HCM,59430
2021-08-01,GEN,Watch,TP HCM,56369
2021-11-01,GEN,Watch,TP HCM,60862
2021-10-01,GEN,Watch,TP HCM,57264
2021-06-01,GEN,Watch,TP HCM,59797
2021-03-01,GEN,Watch,TP HCM,64250
2021-10-01,GEN,Shoes,TP HCM,55159
2021-08-01,GEN,Shoes,TP HCM,53158
2021-01-01,GEN,Shoes,TP HCM,60367
2021-09-01,GEN,Shoes,TP HCM,51943
2021-02-01,GEN,Shoes,TP HCM,57304
2021-05-01,GEN,Shoes,TP HCM,59716
2021-03-01,GEN,Shoes,TP HCM,58757
2021-07-01,GEN,Shoes,TP HCM,55604
2021-08-01,GEN,Bags,TP HCM,51686
2021-04-01,GEN,Bags,TP HCM,54037
2021-01-01,GEN,Bags,TP HCM,54870
2021-10-01,GEN,Bags,TP HCM,53080
2021-09-01,GEN,Bags,TP HCM,51056
2021-06-01,GEN,Bags,TP HCM,53551
2021-05-01,GEN,Bags,TP HCM,54170
2022-06-01,GEN,Perfume,TP HCM,51673
2022-06-01,GEN,Bags,TP HCM,54905
2022-06-01,ELT,"TV, Speakers, MP3 players",TP HCM,89835
2022-06-01,GEN,Watch,TP HCM,60496
2022-06-01,GEN,"FASHION, PERSONAL ITEMS",TP HCM,59713
2022-06-01,ELT,Mobile Phones,TP HCM,139995
2021-04-01,GEN,Mom & Babies,Ha Noi,50003
2022-03-01,GEN,Mom & Babies,Da Nang,50003
2021-10-01,GEN,Mom & Babies,TP HCM,50003
2022-03-01,GEN,Shoes,Ha Noi,53660
2022-03-01,GEN,Clothes,Ha Noi,53599
2022-03-01,GEN,Perfume,Ha Noi,50435
2022-02-01,ELT,"Computers, Laptops",Ha Noi,60505
2022-02-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54239
2022-02-01,GEN,Shoes,Ha Noi,53221
2022-02-01,GEN,Bags,Ha Noi,51271
2022-02-01,ELT,ELECTRONICS,Ha Noi,87567
2021-12-01,GEN,Bags,Ha Noi,51354
2021-12-01,ELT,"Cameras, Video Cameras",Ha Noi,53534
2021-12-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54921
2021-12-01,ELT,Tablets,Ha Noi,58292
2021-12-01,GEN,Perfume,Ha Noi,50513
2021-12-01,ELT,"Computers, Laptops",Ha Noi,62961
2022-01-01,GEN,Watch,Ha Noi,54206
2022-01-01,GEN,Shoes,Ha Noi,54517
2022-01-01,GEN,Perfume,Ha Noi,50444
2022-01-01,ELT,"Computers, Laptops",Ha Noi,60692
2022-01-01,ELT,ELECTRONICS,Ha Noi,91302
2022-01-01,ELT,Mobile Phones,Ha Noi,94315
2022-01-01,ELT,"TV, Speakers, MP3 players",Ha Noi,74693
2022-01-01,ELT,"Cameras, Video Cameras",Ha Noi,53333
2022-04-01,ELT,"Cameras, Video Cameras",Ha Noi,53567
2022-04-01,GEN,Other accessories,Ha Noi,52516
2022-04-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54323
2022-04-01,GEN,Perfume,Ha Noi,50358
2022-04-01,GEN,Shoes,Ha Noi,53262
2022-05-01,GEN,Shoes,Ha Noi,52979
2022-05-01,ELT,Mobile Phones,Ha Noi,91857
2022-05-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54081
2022-05-01,ELT,"TV, Speakers, MP3 players",Ha Noi,67706
2022-05-01,GEN,Clothes,Ha Noi,53619
2021-07-01,GEN,Perfume,Ha Noi,50462
2021-05-01,GEN,Perfume,Ha Noi,50513
2021-02-01,GEN,Perfume,Ha Noi,50403
2021-11-01,GEN,Perfume,Ha Noi,50431
2021-03-01,GEN,Perfume,Ha Noi,50551
2021-08-01,GEN,Perfume,Ha Noi,50288
2021-01-01,GEN,Perfume,Ha Noi,50439
2021-10-01,GEN,Perfume,Ha Noi,50330
2021-11-01,GEN,Other accessories,Ha Noi,52386
2021-05-01,GEN,Other accessories,Ha Noi,53193
2021-08-01,GEN,Other accessories,Ha Noi,52173
2021-09-01,GEN,Other accessories,Ha Noi,51325
2021-02-01,GEN,Other accessories,Ha Noi,52098
2021-06-01,GEN,Other accessories,Ha Noi,52524
2021-01-01,GEN,Other accessories,Ha Noi,52545
2021-01-01,ELT,ELECTRONICS,Ha Noi,85666
2021-04-01,ELT,ELECTRONICS,Ha Noi,91615
2021-03-01,ELT,ELECTRONICS,Ha Noi,99185
2021-02-01,ELT,ELECTRONICS,Ha Noi,85593
2021-10-01,ELT,ELECTRONICS,Ha Noi,92944
2021-05-01,ELT,ELECTRONICS,Ha Noi,93520
2021-03-01,ELT,Mobile Phones,Ha Noi,106177
2021-04-01,ELT,Mobile Phones,Ha Noi,101300
2021-06-01,ELT,Mobile Phones,Ha Noi,92478
2021-08-01,ELT,Mobile Phones,Ha Noi,87811
2021-07-01,ELT,Mobile Phones,Ha Noi,93713
2021-10-01,ELT,Mobile Phones,Ha Noi,93822
2021-11-01,ELT,Mobile Phones,Ha Noi,98827
2021-09-01,ELT,Mobile Phones,Ha Noi,82477
2021-08-01,ELT,"TV, Speakers, MP3 players",Ha Noi,65855
2021-09-01,ELT,"TV, Speakers, MP3 players",Ha Noi,61762
2021-10-01,ELT,"TV, Speakers, MP3 players",Ha Noi,67568
2021-01-01,ELT,"TV, Speakers, MP3 players",Ha Noi,71595
2021-07-01,ELT,"Computers, Laptops",Ha Noi,61671
2021-10-01,ELT,"Computers, Laptops",Ha Noi,63249
2021-06-01,ELT,"Computers, Laptops",Ha Noi,59923
2021-09-01,ELT,"Computers, Laptops",Ha Noi,62577
2021-03-01,ELT,"Computers, Laptops",Ha Noi,62494
2021-02-01,ELT,"Computers, Laptops",Ha Noi,58925
2021-08-01,ELT,"Computers, Laptops",Ha Noi,62217
2021-01-01,ELT,"Computers, Laptops",Ha Noi,58103
2021-03-01,ELT,Tablets,Ha Noi,59240
2021-07-01,ELT,Tablets,Ha Noi,57970
2021-09-01,ELT,Tablets,Ha Noi,59287
2021-05-01,ELT,Tablets,Ha Noi,58520
2021-08-01,ELT,Tablets,Ha Noi,59075
2021-06-01,ELT,Tablets,Ha Noi,57129
2021-01-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54811
2021-02-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54396
2021-10-01,ELT,"Cameras, Video Cameras",Ha Noi,52809
2021-05-01,ELT,"Cameras, Video Cameras",Ha Noi,54263
2021-09-01,ELT,"Cameras, Video Cameras",Ha Noi,52319
2021-07-01,ELT,"Cameras, Video Cameras",Ha Noi,53473
2021-08-01,ELT,"Cameras, Video Cameras",Ha Noi,52917
2021-03-01,GEN,Clothes,Ha Noi,53466
2021-10-01,GEN,Clothes,Ha Noi,53392
2021-09-01,GEN,Clothes,Ha Noi,51524
2021-02-01,GEN,Clothes,Ha Noi,52962
2021-11-01,GEN,Clothes,Ha Noi,55548
2021-01-01,GEN,Clothes,Ha Noi,54506
2021-07-01,GEN,Clothes,Ha Noi,52560
2021-10-01,GEN,Watch,Ha Noi,53388
2021-04-01,GEN,Watch,Ha Noi,54455
2021-09-01,GEN,Watch,Ha Noi,52524
2021-01-01,GEN,Watch,Ha Noi,54120
2021-04-01,GEN,Shoes,Ha Noi,53640
2021-05-01,GEN,Shoes,Ha Noi,53940
2021-03-01,GEN,Shoes,Ha Noi,54250
2021-10-01,GEN,Shoes,Ha Noi,53058
2021-08-01,GEN,Shoes,Ha Noi,52379
2021-01-01,GEN,Shoes,Ha Noi,54668
2021-11-01,GEN,Shoes,Ha Noi,54016
2021-06-01,GEN,Shoes,Ha Noi,52776
2021-11-01,GEN,Bags,Ha Noi,51534
2021-01-01,GEN,Bags,Ha Noi,51492
2021-03-01,GEN,Bags,Ha Noi,51768
2021-05-01,GEN,Bags,Ha Noi,51615
2021-09-01,GEN,Bags,Ha Noi,50741
2021-02-01,GEN,Bags,Ha Noi,51100
2022-06-01,GEN,"FASHION, PERSONAL ITEMS",Ha Noi,54019
2022-06-01,GEN,Other accessories,Ha Noi,52174
2022-06-01,GEN,Perfume,Ha Noi,50369
2022-06-01,ELT,"Cameras, Video Cameras",Ha Noi,53241
2022-06-01,GEN,Clothes,Ha Noi,52899
2022-06-01,ELT,Mobile Phones,Ha Noi,90256
2022-06-01,ELT,"TV, Speakers, MP3 players",Ha Noi,66594
2022-03-01,GEN,"FASHION, PERSONAL ITEMS",Da Nang,51859
2022-03-01,ELT,"TV, Speakers, MP3 players",Da Nang,55377
2022-03-01,ELT,ELECTRONICS,Da Nang,63285
2022-03-01,GEN,Perfume,Da Nang,50185
2022-03-01,GEN,Bags,Da Nang,50413
2022-03-01,ELT,Tablets,Da Nang,52208
2022-02-01,ELT,"Cameras, Video Cameras",Da Nang,51091
2022-02-01,GEN,Shoes,Da Nang,50977
2022-02-01,ELT,ELECTRONICS,Da Nang,63238
2022-02-01,GEN,Watch,Da Nang,51429
