month,vertical,category_name,dau,dau_w_adview,dau_w_lead
2021-01-01,ELT,Tablets,95131,88644,54307
2021-01-01,ELT,Mobile Phones,322224,289196,92318
2021-01-01,GEN,Other accessories,68194,67374,51270
2021-01-01,ELT,"Computers, Laptops",101368,96345,54919
2021-01-01,ELT,"Cameras, Video Cameras",83296,79889,52521
2021-01-01,ELT,"TV, Speakers, MP3 players",176273,165777,65730
2021-02-01,GEN,Bags,58469,57813,50514
2021-02-01,GEN,Shoes,72626,70980,51604
2021-02-01,GEN,Watch,79416,76956,52182
2021-02-01,GEN,Clothes,69178,67549,51278
2021-02-01,GEN,Perfume,53591,53003,50222
2021-02-01,ELT,Tablets,102486,93002,54731
2021-02-01,ELT,Mobile Phones,354408,306569,92718
2021-02-01,GEN,Other accessories,68044,67022,51186
2021-02-01,ELT,"Computers, Laptops",108401,101007,55462
2021-02-01,ELT,"Cameras, Video Cameras",82772,78128,52241
2021-02-01,ELT,"TV, Speakers, MP3 players",182543,167944,64248
2021-03-01,GEN,Bags,59160,58465,50581
2021-03-01,GEN,Shoes,70777,69233,51616
2021-03-01,GEN,Watch,83937,77544,52422
2021-03-01,GEN,Clothes,67805,66149,51343
2021-03-01,GEN,Perfume,53942,53341,50280
2021-03-01,ELT,Tablets,101964,92447,54791
2021-03-01,ELT,Mobile Phones,348442,299995,94376
2021-03-01,GEN,Other accessories,69738,68698,51347
2021-03-01,ELT,"Computers, Laptops",114418,106075,56771
2021-03-01,ELT,"Cameras, Video Cameras",81060,76051,52530
2021-03-01,ELT,"TV, Speakers, MP3 players",183077,168059,64615
2021-04-01,GEN,Bags,59375,58709,50618
2021-04-01,GEN,Shoes,70228,68680,51558
2021-04-01,GEN,Watch,77438,74743,52183
2021-04-01,GEN,Clothes,68408,65368,51380
2021-04-01,GEN,Perfume,53500,52969,50263
2021-04-01,ELT,Tablets,98153,89404,54344
2021-04-01,ELT,Mobile Phones,345618,298826,91843
2021-04-01,GEN,Other accessories,68012,67011,51303
2021-04-01,ELT,"Computers, Laptops",109339,101818,56028
2021-04-01,ELT,"Cameras, Video Cameras",77289,72378,52356
2021-04-01,ELT,"TV, Speakers, MP3 players",175347,162320,63695
2021-05-01,GEN,Bags,58734,58084,50537
2021-05-01,GEN,Shoes,72104,68357,51426
2021-05-01,GEN,Watch,77068,74649,52110
2021-05-01,GEN,Clothes,66546,64877,51208
2021-05-01,GEN,Perfume,53753,53248,50252
2021-05-01,ELT,Tablets,101479,91737,54525
2021-05-01,ELT,Mobile Phones,340298,293084,90774
2021-05-01,GEN,Other accessories,69019,68052,51291
2021-05-01,ELT,"Computers, Laptops",114231,105586,56284
2021-05-01,ELT,"Cameras, Video Cameras",75987,71429,52089
2021-05-01,ELT,"TV, Speakers, MP3 players",171825,158752,63091
2021-06-01,GEN,Bags,57226,56641,50421
2021-06-01,GEN,Shoes,65448,64117,51032
2021-06-01,GEN,Watch,73960,71334,51764
2021-06-01,GEN,Clothes,65017,63568,51032
2021-06-01,GEN,Perfume,52879,52445,50181
2021-06-01,ELT,Tablets,98658,88368,54091
2021-06-01,ELT,Mobile Phones,313220,265838,85983
2021-06-01,GEN,Other accessories,66908,66034,51145
2021-06-01,ELT,"Computers, Laptops",110346,101513,55776
2021-06-01,ELT,"Cameras, Video Cameras",72500,68375,51605
2021-06-01,ELT,"TV, Speakers, MP3 players",161428,147686,61883
2021-07-01,GEN,Bags,56412,56042,50339
2021-07-01,GEN,Shoes,64715,63825,50940
2021-07-01,GEN,Watch,74544,72977,51777
2021-07-01,GEN,Clothes,63728,62848,50919
2021-07-01,GEN,Perfume,52604,52319,50162
2021-07-01,ELT,Tablets,96065,88555,53928
2021-07-01,ELT,Mobile Phones,292387,256859,84391
2021-07-01,GEN,Other accessories,67550,66943,51125
2021-07-01,ELT,"Computers, Laptops",111536,104772,55918
2021-07-01,ELT,"Cameras, Video Cameras",70774,67827,51469
2021-07-01,ELT,"TV, Speakers, MP3 players",151169,141234,60240
2021-08-01,GEN,Bags,54491,54220,50230
2021-08-01,GEN,Shoes,59670,58966,50541
2021-08-01,GEN,Watch,68470,67192,51215
2021-08-01,GEN,Clothes,58990,58283,50547
2021-08-01,GEN,Perfume,51525,51281,50084
2021-08-01,ELT,Tablets,90932,83012,53358
2021-08-01,ELT,Mobile Phones,246080,213621,74900
2021-08-01,GEN,Other accessories,61001,60512,50672
2021-08-01,ELT,"Computers, Laptops",107125,99980,55261
2021-08-01,ELT,"Cameras, Video Cameras",65704,63155,50985
2021-08-01,ELT,"TV, Speakers, MP3 players",125047,116438,56352
2021-09-01,GEN,Bags,54050,53607,50208
2021-09-01,GEN,Shoes,58811,57684,50514
2021-09-01,GEN,Watch,66477,64405,51101
2021-09-01,GEN,Clothes,58917,57743,50575
2021-09-01,GEN,Perfume,51462,51099,50084
2021-09-01,ELT,Tablets,106988,90823,55073
2021-09-01,ELT,Mobile Phones,264337,208867,78035
2021-09-01,GEN,Other accessories,58820,58020,50551
2021-09-01,ELT,"Computers, Laptops",131511,115172,59359
2021-09-01,ELT,"Cameras, Video Cameras",66919,63208,51191
2021-09-01,ELT,"TV, Speakers, MP3 players",122301,108598,56514
2021-10-01,GEN,Bags,56488,55870,50414
2021-10-01,GEN,Shoes,63510,61954,51054
2021-10-01,GEN,Watch,68973,66141,51586
2021-10-01,GEN,Clothes,65455,63769,51342
2021-10-01,GEN,Perfume,52111,51627,50172
2021-10-01,ELT,Tablets,104793,88473,55333
2021-10-01,ELT,Mobile Phones,310835,234022,90169
2021-10-01,GEN,Other accessories,60773,59734,50832
2021-10-01,ELT,"Computers, Laptops",129088,110487,59640
2021-10-01,ELT,"Cameras, Video Cameras",67628,63113,51491
2021-10-01,ELT,"TV, Speakers, MP3 players",145778,127021,61370
2021-11-01,GEN,Bags,58102,57566,50523
2021-11-01,GEN,Shoes,68720,67441,51424
2021-11-01,GEN,Watch,76331,73733,51994
2021-11-01,GEN,Clothes,78207,76873,51717
2021-11-01,GEN,Perfume,52921,52466,50237
2021-11-01,ELT,Tablets,107154,95132,55234
2021-11-01,ELT,Mobile Phones,331462,277198,91547
2021-11-01,GEN,Other accessories,65790,64939,51034
2021-11-01,ELT,"Computers, Laptops",131253,119755,58917
2021-11-01,ELT,"Cameras, Video Cameras",71179,67185,51702
2021-11-01,ELT,"TV, Speakers, MP3 players",168823,155619,62982
2021-12-01,GEN,Bags,57812,57249,50492
2021-12-01,GEN,Shoes,70517,69106,51596
2021-12-01,GEN,Watch,75531,73555,51996
2021-12-01,GEN,Clothes,80190,78782,51814
2021-12-01,GEN,Perfume,53676,52765,50240
2021-12-01,ELT,Tablets,101021,90612,54395
2021-12-01,ELT,Mobile Phones,320090,269081,87070
2021-12-01,GEN,Other accessories,67039,66237,51157
2021-12-01,ELT,"Computers, Laptops",124262,114731,57489
2021-12-01,ELT,"Cameras, Video Cameras",70852,66814,51728
2021-12-01,ELT,"TV, Speakers, MP3 players",174033,160698,63305
2022-01-01,GEN,Bags,57964,57372,50513
2022-01-01,GEN,Shoes,72340,70811,51817
2022-01-01,GEN,Watch,75693,73650,51986
2022-01-01,GEN,Clothes,79327,77879,51959
2022-01-01,GEN,Perfume,53063,52591,50244
2022-01-01,ELT,Tablets,95722,86823,53873
2022-01-01,ELT,Mobile Phones,295431,249065,85571
2022-01-01,GEN,Other accessories,66752,65935,51198
2022-01-01,ELT,"Computers, Laptops",108253,100619,55536
2022-01-01,ELT,"Cameras, Video Cameras",70539,66553,51747
2022-01-01,ELT,"TV, Speakers, MP3 players",177502,163823,64360
2022-02-01,GEN,Bags,57379,56817,50470
2022-02-01,GEN,Shoes,66443,65203,51204
2022-02-01,GEN,Watch,73504,71639,51790
2022-02-01,GEN,Clothes,68408,67133,51312
2022-02-01,GEN,Perfume,52897,52471,50197
2022-02-01,ELT,Tablets,93136,84912,53575
2022-02-01,ELT,Mobile Phones,288421,242255,84953
2022-02-01,GEN,Other accessories,65280,64539,51062
2022-02-01,ELT,"Computers, Laptops",106543,98974,55464
2022-02-01,ELT,"Cameras, Video Cameras",69681,65908,51607
2022-02-01,ELT,"TV, Speakers, MP3 players",152837,140841,60535
2022-03-01,GEN,Bags,57882,57292,50525
2022-03-01,GEN,Shoes,68443,67200,51400
2022-03-01,GEN,Watch,75731,73828,52048
2022-03-01,GEN,Clothes,69498,67726,51350
2022-03-01,GEN,Perfume,53177,52731,50248
2022-03-01,ELT,Tablets,97543,88667,54236
2022-03-01,ELT,Mobile Phones,300507,254563,87844
2022-03-01,GEN,Other accessories,67020,66224,51236
2022-03-01,ELT,"Computers, Laptops",114373,106320,56701
2022-03-01,ELT,"Cameras, Video Cameras",70442,66684,51820
2022-03-01,ELT,"TV, Speakers, MP3 players",159500,148270,62136
2022-04-01,GEN,Bags,57996,57445,50522
2022-04-01,GEN,Shoes,67108,65902,51324
2022-04-01,GEN,Watch,74826,72995,51890
2022-04-01,GEN,Clothes,69083,67916,51299
2022-04-01,GEN,Perfume,52857,52454,50218
2022-04-01,ELT,Tablets,92166,84513,53667
2022-04-01,ELT,Mobile Phones,289605,246191,85455
2022-04-01,GEN,Other accessories,65695,64923,51124
2022-04-01,ELT,"Computers, Laptops",108551,101574,55634
2022-04-01,ELT,"Cameras, Video Cameras",69874,66222,51814
2022-04-01,ELT,"TV, Speakers, MP3 players",151475,141065,61159
2022-05-01,GEN,Bags,58498,57966,50600
2022-05-01,GEN,Shoes,66482,65318,51285
2022-05-01,GEN,Watch,73821,72039,51875
2022-05-01,GEN,Clothes,72753,71632,51347
2022-05-01,GEN,Perfume,52630,52236,50204
2022-05-01,ELT,Tablets,89148,81571,53254
2022-05-01,ELT,Mobile Phones,277948,235870,83461
2022-05-01,GEN,Other accessories,63955,63188,50962
2022-05-01,ELT,"Computers, Laptops",104033,97439,55076
2022-05-01,ELT,"Cameras, Video Cameras",70370,66310,51784
2022-05-01,ELT,"TV, Speakers, MP3 players",151591,140564,60944
2022-06-01,GEN,Bags,59187,58630,50636
2022-06-01,GEN,Shoes,66385,65207,51271
2022-06-01,GEN,Watch,73596,71805,51846
2022-06-01,GEN,Clothes,67181,66064,51273
2022-06-01,GEN,Perfume,53008,52600,50222
2022-06-01,ELT,Tablets,89329,81979,53329
2022-06-01,ELT,Mobile Phones,273912,232473,83430
2022-06-01,GEN,Other accessories,63467,62683,50947
2022-06-01,ELT,"Computers, Laptops",103452,97104,54919
2022-06-01,ELT,"Cameras, Video Cameras",69972,66222,51778
2022-06-01,ELT,"TV, Speakers, MP3 players",149961,139291,60490
